id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
1,Schwabelweis,4477500,2882500,35525,Danube,Danube,Danube,DE,,211311,1395.000,1579.900,2034.700,2335.800,2624.600,2998.500,3278.700,3557.800,3926.100,0,0.000,0.000,0.000,,,
2,Hofkirchen,4547500,2847500,47525,Danube,Danube,Danube,DE,,211111,1862.700,2106.700,2707.300,3105.000,3486.400,3980.100,4350.000,4718.700,5205.000,0,0.000,0.000,0.000,,,
3,Pfelling,4517500,2867500,37725,Danube,Danube,Danube,DE,,211311,1425.800,1617.100,2087.900,2399.600,2698.600,3085.700,3375.700,3664.700,4045.900,0,0.000,0.000,0.000,,,
4,Barby,4452500,3207500,93975,"Elbe, below Saale",Elbe,Elbe,DE,1.000,3111,1367.500,1836.700,2991.400,3756.000,4489.400,5438.600,6150.000,6858.700,7793.800,0,0.000,0.000,0.000,,,
5,Wittenberg / Lutherstadt,4497500,3197500,61675,Elbe,Elbe,Elbe,DE,1.000,7111,990.900,1363.200,2279.500,2886.100,3468.000,4221.300,4785.700,5348.100,6090.000,0,0.000,0.000,0.000,,,
6,Malliss OP,4407500,3342500,2900,Elbe,Muritz-Elde,Elbe,DE,2.000,1141,37.300,44.500,62.300,74.000,85.300,99.900,110.900,121.800,136.100,1,1.000,0.000,0.000,1.000,1.000,1.000
8,Grosse Traenke Wehr UP,4592500,3257500,6625,Havel,Muggelspree,Elbe,DE,3.000,2211,74.700,105.900,182.500,233.300,282.000,345.000,392.300,439.300,501.400,0,0.000,0.000,0.000,,,
9,Rathenow UP,4472500,3287500,18875,Havel,Havel,Elbe,DE,2.000,2111,189.000,231.000,334.200,402.600,468.100,553.000,616.600,680.000,763.600,0,0.000,0.000,1.000,,0.000,0.000
10,Plau OP,4467500,3377500,1250,Elbe,Muritz-Elde,Elbe,DE,2.000,1141,9.400,11.100,15.500,18.300,21.100,24.600,27.300,29.900,33.400,1,1.000,0.000,0.000,1.000,1.000,1.000
11,Calbe Grizehne,4442500,3202500,23725,Saale,Saale,Elbe,DE,2.000,4111,341.800,426.400,634.700,772.500,904.800,1076.000,1204.300,1332.100,1500.800,0,0.000,0.000,0.000,,,
12,Tangermuende,4457500,3272500,97875,"Elbe, below Saale",Elbe,Elbe,DE,1.000,3111,1341.300,1803.300,2940.300,3693.100,4415.200,5349.800,6050.200,6748.100,7668.800,0,0.000,0.000,0.000,,,
13,Bernburg UP,4442500,3187500,19700,Saale,Saale,Elbe,DE,2.000,4111,294.500,368.700,551.300,672.200,788.200,938.300,1050.800,1162.800,1310.700,0,0.000,0.000,0.000,,,
14,Wittenberge,4432500,3327500,123300,Elbe,Elbe,Elbe,DE,1.000,1151,1483.900,1957.900,3124.600,3897.100,4638.000,5597.100,6315.800,7031.900,7976.600,0,0.000,0.000,0.000,,,
15,Aken,4457500,3202500,69875,"Elbe, below Mulde",Elbe,Elbe,DE,1.000,5111,1117.700,1538.000,2572.200,3257.000,3913.800,4764.100,5401.200,6036.000,6873.500,0,0.000,0.000,0.000,,,
16,Magdeburg-Strombruecke,4437500,3222500,94975,"Elbe, below Saale",Elbe,Elbe,DE,1.000,3111,1359.600,1827.400,2978.800,3741.100,4472.300,5418.800,6128.000,6834.700,7767.000,0,0.000,0.000,0.000,,,
17,Havelberg Stadt,4462500,3302500,23550,Havel,Lower Havel waterway,Elbe,DE,2.000,2111,223.200,270.400,386.800,463.800,537.700,633.300,705.000,776.400,870.600,0,0.000,0.000,1.000,,0.000,0.000
18,Halle-Trotha UP,4457500,3157500,18000,Saale,Saale,Elbe,DE,2.000,4111,290.300,363.500,543.500,662.700,777.100,925.100,1036.000,1146.500,1292.300,0,0.000,0.000,0.000,,,
19,Neu Darchau,4377500,3352500,131450,Elbe,Elbe,Elbe,DE,1.000,1131,1528.900,1997.400,3150.400,3913.700,4646.000,5593.800,6304.100,7011.800,7945.400,0,0.000,0.000,0.000,,,
21,Eisenhuettenstadt,4642500,3237500,51150,"Oder, below Neisse",Oder,Oder,DE,1.000,3111,722.400,892.200,1310.000,1586.700,1852.100,2195.600,2453.000,2709.500,3047.900,1,1.000,0.000,0.000,1.000,1.000,1.000
26,Hohensaaten-Finow,4602500,3307500,109875,"Oder, below Warta",Oder,Oder,DE,1.000,1311,1096.200,1324.800,1887.300,2259.800,2617.100,3079.600,3426.100,3771.400,4226.900,0,0.000,0.000,0.000,,,
27,Leun (Neu),4207500,3047500,3575,Lahn,Lahn,Rhine,DE,,5211,179.900,204.200,264.100,303.800,341.800,391.100,428.000,464.800,513.300,0,0.000,0.000,0.000,,,
28,Maxau,4192500,2877500,50425,Rhine,Rhine,Rhine,DE,,11111,2845.700,3083.900,3669.800,4057.800,4429.900,4911.600,5272.600,5632.200,6106.700,1,1.000,0.000,0.000,1.000,1.000,1.000
29,Raunheim,4207500,2987500,27100,Main,Main,Rhine,DE,,8111,676.600,797.400,1094.800,1291.800,1480.600,1725.100,1908.300,2090.900,2331.700,0,0.000,0.000,0.000,,,
30,Plittersdorf,4182500,2862500,48500,Rhine,Rhine,Rhine,DE,,11111,2797.100,3035.900,3623.500,4012.600,4385.800,4868.800,5230.800,5591.500,6067.300,1,1.000,0.000,0.000,1.000,1.000,1.000
31,Frankfurt-Osthafen,4222500,2997500,24775,Main,Main,Rhine,DE,,8311,638.700,753.000,1034.500,1220.900,1399.600,1631.000,1804.400,1977.200,2205.100,0,0.000,0.000,0.000,,,
32,Perl,4057500,2942500,11525,Moselle,Moselle,Rhine,DE,,4511,775.100,889.000,1169.500,1355.200,1533.400,1764.000,1936.700,2108.900,2336.000,0,0.000,0.000,1.000,,0.000,0.000
33,Plochingen,4277500,2842500,3975,Neckar,Neckar,Rhine,DE,,10311,293.400,337.100,444.900,516.200,584.700,673.300,739.600,805.800,893.000,1,0.000,1.000,0.000,0.000,,0.000
34,Schweinfurt Neuer Hafen,4332500,2982500,12825,Main,Main,Rhine,DE,,8711,421.400,487.800,651.100,759.200,863.000,997.200,1097.900,1198.100,1330.400,1,0.000,1.000,0.000,0.000,,0.000
35,Kleinheubach,4262500,2957500,21550,Main,Main,Rhine,DE,,8511,588.200,693.200,951.400,1122.400,1286.400,1498.700,1657.800,1816.300,2025.400,0,0.000,0.000,0.000,,,
36,Kaub,4162500,2992500,103525,Rhine,Rhine,Rhine,DE,,5311,3910.200,4227.400,5007.900,5524.700,6020.400,6662.100,7142.900,7622.000,8254.000,1,1.000,0.000,0.000,1.000,1.000,1.000
38,Cochem,4122500,3007500,27025,Moselle,Moselle,Rhine,DE,,4111,1562.100,1829.200,2486.600,2921.900,3339.400,3879.800,4284.800,4688.300,5220.600,1,1.000,0.000,0.000,1.000,1.000,1.000
39,Trunstadt,4372500,2982500,11950,Main,Main,Rhine,DE,,8711,405.100,466.200,616.500,716.000,811.500,935.100,1027.700,1119.900,1241.600,1,0.000,1.000,0.000,0.000,,0.000
40,Koeln,4107500,3092500,144150,Rhine,Rhine,Rhine,DE,,3511,5184.600,5765.400,7194.800,8141.200,9048.900,10224.000,11104.500,11981.800,13139.300,1,1.000,0.000,0.000,1.000,1.000,1.000
42,Kalkofen (Neu),4172500,3027500,5275,Lahn,Lahn,Rhine,DE,,5211,219.900,248.600,319.400,366.200,411.100,469.300,512.800,556.300,613.500,0,0.000,0.000,0.000,,,
43,Wuerzburg,4317500,2967500,14125,Main,Main,Rhine,DE,,8711,444.000,514.700,688.500,803.700,914.100,1057.000,1164.100,1270.800,1411.600,1,0.000,1.000,0.000,0.000,,0.000
45,Worms,4202500,2947500,68950,Rhine,Rhine,Rhine,DE,,9111,3380.700,3625.200,4226.700,4625.100,5007.100,5501.700,5872.300,6241.500,6728.600,1,1.000,0.000,0.000,1.000,1.000,1.000
46,Emmerich,4057500,3197500,159550,Rhine,Rhine,Rhine,DE,,3311,5594.400,6249.000,7859.800,8926.200,9949.200,11273.400,12265.700,13254.300,14558.700,1,1.000,0.000,0.000,1.000,1.000,1.000
47,Ruhrort,4092500,3157500,152875,Rhine,Rhine,Rhine,DE,,3311,5436.900,6070.200,7628.600,8660.500,9650.200,10931.400,11891.400,12847.900,14109.900,1,1.000,0.000,0.000,1.000,1.000,1.000
48,Rees,4067500,3192500,159400,Rhine,Rhine,Rhine,DE,,3311,5592.600,6246.800,7856.800,8922.700,9945.200,11268.700,12260.400,13248.600,14552.200,1,1.000,0.000,0.000,1.000,1.000,1.000
49,Mainz,4197500,2987500,98300,Rhine,Rhine,Rhine,DE,,7111,3843.500,4135.600,4854.600,5330.600,5787.200,6378.200,6821.100,7262.400,7844.600,1,1.000,0.000,0.000,1.000,1.000,1.000
50,Koblenz,4147500,3027500,109850,Rhine,Rhine,Rhine,DE,,5111,4018.700,4358.200,5193.600,5746.800,6277.400,6964.200,7478.900,7991.700,8668.200,1,1.000,0.000,0.000,1.000,1.000,1.000
51,St.Arnual,4102500,2902500,3900,Moselle,Saar,Rhine,DE,,4211,241.300,284.600,391.300,461.900,529.700,617.300,683.100,748.500,834.900,0,0.000,0.000,1.000,,0.000,0.000
52,Kehl-Kronenhof,4157500,2832500,39525,Rhine,Rhine,Rhine,DE,,11711,2531.800,2765.400,3340.200,3720.800,4085.900,4558.400,4912.600,5265.400,5730.900,1,1.000,0.000,1.000,1.000,0.500,0.667
53,Diez Hafen,4182500,3032500,4900,Lahn,Lahn,Rhine,DE,,5211,214.100,242.000,310.600,356.000,399.500,455.900,498.200,540.200,595.800,0,0.000,0.000,0.000,,,
54,Wesel,4087500,3172500,154150,Rhine,Rhine,Rhine,DE,,3311,5470.600,6106.300,7670.800,8706.500,9700.100,10986.100,11949.900,12910.100,14176.900,1,1.000,0.000,0.000,1.000,1.000,1.000
57,Andernach,4132500,3042500,139600,Rhine,Rhine,Rhine,DE,,3711,5088.600,5652.300,7039.600,7958.100,8839.200,9979.600,10834.200,11685.700,12809.100,1,1.000,0.000,0.000,1.000,1.000,1.000
58,Düsseldorf,4092500,3127500,147750,Rhine,Rhine,Rhine,DE,,3511,5250.500,5842.300,7298.800,8263.200,9188.200,10385.500,11282.700,12176.700,13356.100,1,1.000,0.000,0.000,1.000,1.000,1.000
59,Steinbach,4297500,2992500,17925,Main,Main,Rhine,DE,,8511,555.700,649.300,879.500,1031.900,1178.100,1367.400,1509.200,1650.500,1837.000,1,0.000,1.000,0.000,0.000,,0.000
60,Fremersdorf,4077500,2932500,7025,Moselle,Saar,Rhine,DE,,4211,414.600,479.400,639.100,744.800,846.200,977.500,1075.800,1173.800,1303.100,0,0.000,0.000,1.000,,0.000,0.000
62,Bonn,4117500,3072500,140775,Rhine,Rhine,Rhine,DE,,3511,5100.900,5666.500,7058.500,7980.100,8864.100,10008.400,10865.900,11720.200,12847.300,1,1.000,0.000,0.000,1.000,1.000,1.000
63,Speyer,4212500,2917500,53250,Rhine,Rhine,Rhine,DE,,11111,2876.600,3116.900,3708.100,4099.600,4475.100,4961.100,5325.300,5688.200,6167.000,1,1.000,0.000,0.000,1.000,1.000,1.000
64,Heidelberg UP,4227500,2922500,13900,Neckar,Neckar,Rhine,DE,,10111,743.000,840.700,1081.400,1240.700,1393.600,1591.400,1739.700,1887.400,2082.300,0,0.000,0.000,0.000,,,
67,Breisach,4142500,2777500,37575,Rhine,Rhine,Rhine,DE,,11711,2486.100,2716.800,3284.500,3660.400,4020.900,4487.600,4837.300,5185.700,5645.400,1,1.000,0.000,1.000,1.000,0.500,0.667
68,Rheinweiler,4137500,2737500,36650,Rhine,Rhine,Rhine,DE,,11711,2462.100,2692.700,3260.100,3635.800,3996.200,4462.700,4812.200,5160.500,5620.000,1,1.000,0.000,1.000,1.000,0.500,0.667
69,Erlln,4517500,3117500,5375,Mulde,Freiberger Mulde,Elbe,DE,3.000,6111,271.300,386.700,670.700,858.700,1039.100,1272.500,1447.500,1621.800,1851.700,0,0.000,0.000,0.000,,,
71,Kriebstein UP,4532500,3112500,1800,Mulde,Zschopau,Elbe,DE,4.000,6221,116.500,173.800,314.900,408.300,497.900,613.800,700.700,787.300,901.500,0,0.000,0.000,0.000,,,
73,Zwickau-Poelbitz,4497500,3072500,1025,Mulde,Zwickauer Mulde,Elbe,DE,2.000,6311,63.200,88.000,148.900,189.200,227.800,277.900,315.400,352.800,402.100,0,0.000,0.000,0.000,,,
74,Wolkenburg,4507500,3087500,1400,Mulde,Zwickauer Mulde,Elbe,DE,2.000,6311,85.500,117.600,196.700,249.000,299.200,364.100,412.800,461.300,525.300,0,0.000,0.000,0.000,,,
75,Wechselburg 1,4517500,3102500,2125,Mulde,Zwickauer Mulde,Elbe,DE,2.000,6311,139.800,191.200,317.900,401.800,482.200,586.400,664.400,742.200,844.700,0,0.000,0.000,0.000,,,
76,Riesa,4552500,3137500,54450,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,1014.000,1387.200,2305.500,2913.600,3496.800,4251.800,4817.500,5381.200,6124.800,0,0.000,0.000,0.000,,,
77,Muehlberg,4542500,3152500,55075,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,994.500,1366.700,2282.600,2889.100,3470.700,4223.700,4787.900,5350.100,6091.700,0,0.000,0.000,0.000,,,
78,Torgau,4532500,3157500,55150,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,980.200,1351.800,2266.200,2871.600,3452.300,4204.000,4767.300,5328.600,6069.000,0,0.000,0.000,0.000,,,
79,Lichtenwalde 1,4532500,3092500,1600,Mulde,Zschopau,Elbe,DE,4.000,6221,114.000,165.800,293.400,377.900,458.900,563.700,642.300,720.600,823.900,0,0.000,0.000,0.000,,,
80,Colditz,4517500,3112500,2325,Mulde,Zwickauer Mulde,Elbe,DE,2.000,6311,146.300,200.900,335.200,424.100,509.400,619.800,702.500,784.900,893.700,0,0.000,0.000,0.000,,,
81,Kleindalzig,4482500,3122500,2975,Saale,White Elster,Elbe,DE,3.000,4231,64.100,84.300,133.900,166.800,198.300,239.100,269.700,300.200,340.400,0,0.000,0.000,0.000,,,
82,Golzern 1,4512500,3127500,5500,Mulde,United Mulde,Elbe,DE,2.000,6111,271.800,388.200,674.600,864.200,1046.000,1281.500,1457.900,1633.600,1865.500,0,0.000,0.000,0.000,,,
83,Bad Dueben 1,4502500,3162500,6050,Mulde,United Mulde,Elbe,DE,2.000,6111,263.700,376.000,652.300,835.300,1010.800,1237.900,1408.100,1577.700,1801.500,0,0.000,0.000,0.000,,,
84,Oberthau,4477500,3142500,4950,Saale,White Elster,Elbe,DE,3.000,4211,104.200,128.600,188.800,228.600,266.900,316.300,353.400,390.300,439.100,0,0.000,0.000,0.000,,,
85,Boehlen 1,4487500,3132500,1400,Saale,Pleisse,Elbe,DE,4.000,4221,32.200,39.000,56.000,67.200,77.900,91.800,102.200,112.600,126.300,0,0.000,0.000,0.000,,,
86,Neuwiese,4617500,3157500,675,Schwarze Elster,Schwarze Elster,Elbe,DE,2.000,8111,16.500,21.200,32.700,40.400,47.700,57.200,64.200,71.300,80.600,0,0.000,0.000,0.000,,,
87,Schoena,4617500,3092500,51400,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,1036.500,1400.000,2294.400,2886.600,3454.600,4189.900,4740.800,5289.800,6014.000,0,0.000,0.000,0.000,,,
88,Pirna,4607500,3102500,52000,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,1036.000,1402.500,2304.300,2901.400,3474.200,4215.600,4771.200,5324.700,6055.000,0,0.000,0.000,0.000,,,
89,Dresden,4582500,3112500,53125,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,1039.300,1410.700,2324.600,2929.800,3510.200,4261.500,4824.600,5385.500,6125.600,0,0.000,0.000,0.000,,,
90,Meissen,4562500,3122500,53950,"Elbe, below Ohre",Elbe,Elbe,DE,1.000,9111,1030.800,1402.900,2318.500,2924.800,3506.300,4259.100,4823.200,5385.200,6126.700,0,0.000,0.000,0.000,,,
