model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
COS,1,0.500,f0.8,12,0.875,1/1,437,241,184,678,0.645,0.704,0.679,0.673,0.666
COS,1,0.500,f1,12,0.875,1/1,437,241,184,678,0.645,0.704,0.679,0.673,0.666
COS,1,0.500,f1.25,12,0.625,1/1,450,228,217,678,0.664,0.675,0.670,0.669,0.668
COS,1,0.500,f0.8,60,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,1,0.500,f1,60,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,1,0.500,f1.25,60,0.375,1/1,324,354,428,678,0.478,0.431,0.448,0.453,0.458
DWD,1,0.500,f0.8,12,0.050,2/2,375,303,299,678,0.553,0.556,0.555,0.555,0.554
DWD,1,0.500,f1,12,0.050,1/1,473,205,494,678,0.698,0.489,0.554,0.575,0.598
DWD,1,0.500,f1.25,12,0.050,1/1,473,205,494,678,0.698,0.489,0.554,0.575,0.598
DWD,1,0.500,f0.8,60,0.050,3/3,263,415,245,678,0.388,0.518,0.458,0.444,0.430
DWD,1,0.500,f1,60,0.050,2/2,331,347,471,678,0.488,0.413,0.439,0.447,0.456
DWD,1,0.500,f1.25,60,0.050,2/2,331,347,471,678,0.488,0.413,0.439,0.447,0.456
DWD,1,0.500,f0.8,144,0.050,2/2,166,512,327,678,0.245,0.337,0.294,0.284,0.274
DWD,1,0.500,f1,144,0.050,2/2,166,512,327,678,0.245,0.337,0.294,0.284,0.274
DWD,1,0.500,f1.25,144,0.050,2/4,171,507,378,678,0.252,0.311,0.285,0.279,0.272
EUD,1,0.500,f0.8,12,0.050,2/2,372,306,191,678,0.549,0.661,0.612,0.600,0.588
EUD,1,0.500,f1,12,0.050,1/1,466,212,367,678,0.687,0.559,0.603,0.617,0.631
EUD,1,0.500,f1.25,12,0.050,1/1,466,212,367,678,0.687,0.559,0.603,0.617,0.631
EUD,1,0.500,f0.8,60,0.050,3/3,248,430,187,678,0.366,0.570,0.468,0.446,0.425
EUD,1,0.500,f1,60,0.050,3/3,248,430,187,678,0.366,0.570,0.468,0.446,0.425
EUD,1,0.500,f1.25,60,0.050,3/3,248,430,187,678,0.366,0.570,0.468,0.446,0.425
EUD,1,0.500,f0.8,144,0.050,3/3,116,562,128,678,0.171,0.475,0.281,0.252,0.228
EUD,1,0.500,f1,144,0.050,2/2,134,544,236,678,0.198,0.362,0.273,0.256,0.240
EUD,1,0.500,f1.25,144,0.050,1/1,226,452,945,678,0.333,0.193,0.231,0.244,0.260
EUD,1,0.500,f0.8,180,0.050,2/3,132,546,338,678,0.195,0.281,0.239,0.230,0.221
EUD,1,0.500,f1,180,0.050,2/4,141,537,405,678,0.208,0.258,0.236,0.230,0.225
EUD,1,0.500,f1.25,180,0.050,2/4,141,537,405,678,0.208,0.258,0.236,0.230,0.225
EUE,1,0.500,f0.8,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f1,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f1.25,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f0.8,60,0.650,1/1,255,423,111,678,0.376,0.697,0.523,0.489,0.458
EUE,1,0.500,f1,60,0.400,1/1,305,373,233,678,0.450,0.567,0.515,0.502,0.489
EUE,1,0.500,f1.25,60,0.225,1/1,367,311,468,678,0.541,0.440,0.474,0.485,0.496
EUE,1,0.500,f0.8,144,0.200,1/1,195,483,329,678,0.288,0.372,0.334,0.324,0.316
EUE,1,0.500,f1,144,0.200,1/1,195,483,329,678,0.288,0.372,0.334,0.324,0.316
EUE,1,0.500,f1.25,144,0.150,1/1,230,448,535,678,0.339,0.301,0.315,0.319,0.323
EUE,1,0.500,f0.8,180,0.175,2/2,156,522,262,678,0.230,0.373,0.300,0.285,0.271
EUE,1,0.500,f1,180,0.175,2/4,158,520,286,678,0.233,0.356,0.295,0.282,0.269
EUE,1,0.500,f1.25,180,0.175,2/4,158,520,286,678,0.233,0.356,0.295,0.282,0.269
